# it, mean_episode_cot
0,1.667007927627613
1,6.384284446636836
2,8.64499318599701
3,8.034596691528956
4,20.263280962904293
5,87.66343367596467
6,64.05132209261258
7,3.7104401290416718
8,6.570608119169871
9,6.0409816056489944
10,4.966907689968745
11,17.31242920955022
12,4.503360296289126
13,3.556571215391159
14,7.688160389661789
15,4.425735453764598
16,9.587934349973997
17,19.614243149757385
18,5.8509455273548765
19,6.658249030510585
20,10.079860190550486
21,14.556802799304327
22,6.139006743828456
23,13.99390517671903
24,11.202506631612778
25,5.37646713356177
26,4.500569229324658
