# it, mean_episode_cot
0,0.9284406831332793
1,5.066213627656301
2,10.788940191268921
3,100.71593701839447
4,8.01341250538826
5,7.565080404281616
6,4.832500497500102
7,4.663594211141269
8,5.192544703682263
9,13.9536222020785
10,3.7531719158093133
11,2.6465841780106225
12,5.743608146905899
13,2.9628300269444785
14,2.502469927072525
15,10.893154283364614
16,2.511068825920423
17,3.543854534626007
18,2.8975428491830826
19,2.8551449477672577
20,3.977553149064382
21,3.127157519261042
22,3.688195457061132
23,3.062853440642357
24,5.304127027591069
25,3.063094119230906
26,2.4665121932824454
27,4.7891021023194
28,3.5983219196399054
29,3.0892522086699805
30,5.404148876667023
31,6.56990600625674
32,15.769112229347229
33,4.0436176508665085
34,6.0740058571100235
35,2.8025138278802237
36,3.294659376144409
37,3.8462411165237427
38,2.9518041412035623
39,3.89243084192276
40,4.178407033284505
41,3.619162360827128
42,5.765262424945831
43,4.416312664747238
44,6.492525021235148
45,3.821852703889211
46,3.9041497061649957
47,3.660861069957415
48,3.0342917094628015
49,2.657710462808609
50,1.8658885558446248
51,2.0382172813018165
52,1.6319444974263508
53,1.5813425580660503
54,2.3359695275624595
55,1.2591880187392235
56,1.1999615356326103
57,1.290383482972781
58,0.9373242532213529
59,0.926360252002875
60,0.9555991813540459
61,0.8455932935078939
62,0.7609349712729454
63,0.8102293163537979
64,0.8006470575928688
65,0.7836962727208933
66,0.7929520557324091
67,1.3582368964950244
68,0.7475582684079806
69,0.7525186364849409
