speed,cot_mean
0.28836706280708313,44.79750442504883
0.3383670747280121,26.009862899780273
0.38836708664894104,15.599065780639648
0.43836709856987,18.098800659179688
0.48836711049079895,14.723321914672852
0.5383671522140503,9.361507415771484
0.5883671045303345,13.461808204650879
0.6383671760559082,13.143668174743652
0.6883671283721924,13.889062881469727
0.7383671998977661,12.890780448913574
0.7883671522140503,11.809324264526367
0.838367223739624,11.998483657836914
0.8883671760559082,10.087678909301758
0.9383672475814819,8.851048469543457
0.9883671998977661,29.112529754638672
1.0383672714233398,65.08074188232422
1.088367223739624,71.19058227539062
