# it, mean_episode_cot
0,1.2914013010449708
1,17.56900979578495
2,5.809123009443283
3,4.456414505839348
4,6.655935655037562
5,2.726704483230909
6,2.7657308354973793
7,4.9509075085322065
8,3.1041364098588624
9,1.8641394525766373
10,2.019352321823438
11,2.3308449213703475
12,2.6040709614753723
13,3.6408042311668396
14,2.844313070178032
15,2.961005980769793
16,3.5305659770965576
17,3.4524826953808465
18,2.7577087183793387
19,3.731251468261083
20,4.02103837331136
21,3.7498343785603843
22,2.93269807100296
23,4.072378853956859
24,3.914038116733233
25,3.5106946527957916
26,4.132821510235469
27,3.5802416801452637
28,3.9693786601225534
29,3.591782251993815
30,4.20646445453167
31,4.546726793050766
32,66.74747408429782
33,10.21870967745781
34,28.85983482003212
35,6.500832120577495
36,4.090774342417717
37,4.451071222623189
38,6.685472289721171
39,3.823082278172175
40,4.959363520145416
41,10.116735398769379
42,6.391489853461583
43,5.146686007579167
44,6.144923488299052
45,3.6899864772955575
46,4.276145845651627
47,4.194336965680122
48,3.260497068365415
49,2.8440689543883004
50,3.6304861530661583
51,5.22049402197202
52,2.3666417797406516
53,2.155277560154597
54,2.3348130186398826
55,1.7541749452551205
56,1.9454766760269802
57,3.380412593483925
58,1.6430634235342343
59,1.4456739649176598
60,1.216475524008274
61,1.3645128806432087
62,1.3924362684289615
63,1.8746198614438374
64,1.2262389411528904
65,1.2152029797434807
66,1.3162074188391368
67,1.3834616119662921
68,1.2058213899532955
69,1.2504614889621735
70,1.1390923609336217
71,1.6739776954054832
72,1.370518905421098
73,1.5253315195441246
74,1.3458245893319447
75,1.1630469610293706
76,1.2885044688979785
77,0.9417161494493484
78,1.1945938542485237
79,1.2345374822616577
80,1.311064084370931
81,1.1413578912615776
82,1.6846033036708832
83,1.2426569933692615
84,1.394357164700826
85,1.469018208483855
86,1.4051219820976257
87,1.4389593278368313
88,1.1655449941754341
89,261.8168697903554
90,1.941857988635699
91,1.6327390496929486
92,1.4038286581635475
93,1.7244557663798332
94,1.256070613861084
95,3.779123072822889
96,1.3672527397672336
97,1.1189813688397408
98,1.333332508802414
99,1.4097900663812954
100,1.360956775645415
101,1.3229300032059352
102,1.3041326453288395
103,2.154920108616352
104,1.8695709829529126
105,1.1422905052701633
106,1.7322321062286694
107,1.4078140209118526
108,1.2246883784731228
109,1.900446742773056
110,2.0451944222052894
111,2.464979032675425
112,1.1594607755541801
113,1.4790849561492603
114,1.482078142464161
115,1.362994025150935
116,1.3922356913487117
117,2.0229488660891852
118,1.7244392707943916
119,2.3010532980163894
120,1.5093072280287743
121,2.133325715859731
122,2.3407624239722886
123,2.738753318786621
124,1.4820138464371364
125,2.4784799218177795
126,1.9723875770966213
127,1.5648975943525631
128,1.7395027925570805
129,1.6918622255325317
130,1.198103316128254
131,1.2340375036001205
132,1.355444150666396
133,1.5229114467899005
134,1.5174222066998482
135,1.6353645746906598
136,2.2261007701357207
137,4.070103315015634
138,1.3976726084947586
139,1.295599915087223
140,1.4569464524586995
141,1.6890055785576503
142,1.364584853251775
143,1.2166953533887863
144,1.3954402928551037
145,1.3271455044547718
146,1.2319981704155605
147,1.1286309162775676
148,1.7328037470579147
149,1.671658771733443
150,1.5303142567475636
151,3.503952448566755
152,1.723747044801712
153,2.241289794445038
154,1.685673510034879
155,1.5100570271412532
156,1.3747860963145893
157,1.6556388313571613
158,1.8013897687196732
159,1.8068619221448898
160,1.4386992454528809
161,1.626716213921706
162,1.3302999561031659
163,2.015828507641951
164,1.3525579671065013
165,1.1798406367500622
166,3.650604603191217
167,1.772070199251175
168,2.6156843304634094
169,1.809956689675649
170,1.3054295803109806
171,1.5320416788260143
172,1.3112563292185466
173,1.089316892127196
174,2.0293550292650857
175,1.0196839173634846
176,1.930136318008105
177,2.1753465632597604
178,1.0551671956976254
179,1.3125650137662888
180,1.0493332619468372
181,1.060699388384819
182,1.724053867161274
183,1.4842777798573177
184,1.1679254360496998
185,1.0846766158938408
186,1.3861242284377415
187,8.86275770018498
188,1.4293325295050938
189,1.1651802534858386
190,1.7437063828110695
191,3.0098649015029273
192,1.364611230790615
193,2.6560233061512313
194,1.1877318347493808
195,1.0953062797586124
196,1.2220034524798393
197,1.2027415732542674
198,1.0412991816798847
199,1.9619880964358647
200,1.4250888153910637
201,1.6188070625066757
202,0.9906074131528536
203,1.0509103313088417
204,1.0345775162180264
205,8.12775311122338
206,2.3071665863196054
207,1.2191063637534778
208,1.5327737877766292
209,1.5933483615517616
210,1.7541130383809407
211,1.2384804387887318
212,1.1893949458996456
213,3.872640868028005
214,1.5469938938816388
215,1.2216492667794228
216,1.2559509053826332
217,1.3259472424785297
218,1.0363183468580246
219,1.6029711316029231
220,1.1153585637609165
221,1.2939935649434726
222,2.099570040901502
223,1.461785910030206
224,1.5298366645971935
225,1.4411021197835605
226,1.6585742309689522
227,0.9835214714209238
228,1.066383607685566
229,1.273094765841961
230,1.003566121061643
231,1.0941668475667636
232,1.0121813702086608
233,1.5927593596279621
234,0.8112189869085947
235,0.8511559714873632
236,2.072570833067099
237,0.9355999728043874
238,1.5615293458104134
239,0.8620128395656744
240,0.9231197300056616
241,0.7483885561426481
242,0.7882354234655699
243,1.1382394582033157
244,1.3450621590018272
245,1.1135008285442989
246,2.9555655593673387
247,1.5450092603762944
248,1.9119375869631767
249,0.7849500812590122
250,1.01493551582098
251,1.1198807507753372
252,1.158458078900973
253,4.18925654143095
254,1.1083930333455403
255,1.593890977402528
256,0.8924197629094124
257,0.9916363420585791
258,0.8493466787040234
259,0.7353089104096094
260,1.4328226024905841
261,1.3360104064146678
262,2.698309004306793
263,2.045399190237125
264,0.6310681328177452
265,0.6158474273979664
266,0.7506469376385212
267,0.9167148483296236
268,1.1033901224533718
269,55.80926280965408
270,0.6956283462544283
271,0.7409497524301211
272,0.6851573847234249
273,0.7193873239060243
274,0.9480042482415835
275,1.0685512696703274
276,0.7947160763045152
277,1.2576993020872276
278,0.7980600831409296
279,0.9122166422506174
280,1.381972045948108
281,0.8028904981911182
282,0.9423163359363874
283,0.9069209098815918
284,0.9008171781897545
