speed,cot_mean
0.4517444670200348,121.58416748046875
0.5017445087432861,99.91851043701172
0.5517444610595703,86.74674224853516
0.601744532585144,71.27003479003906
0.6517444849014282,83.26055908203125
0.701744556427002,72.57095336914062
0.7517445087432861,64.7561264038086
0.8017445802688599,70.42890167236328
0.851744532585144,78.43096160888672
0.9017446041107178,61.33909606933594
0.951744556427002,50.704715728759766
1.0017446279525757,53.706295013427734
1.0517445802688599,66.78651428222656
