# it, mean_episode_cot
0,9.635862479141602
1,14.795962512493134
2,12.069361885388693
3,17.09627429644267
4,12.610957324504852
5,13.117294867833456
6,12.689263939857483
7,13.582390308380127
8,12.219510098298391
9,14.424274404843649
10,10.921466648578644
11,10.720464785893759
12,22.92928655942281
13,44.997149189313255
14,19.533658345540363
15,17.718974173069
16,11.383594632148743
17,11.523773074150085
18,11.248524685700735
19,11.532323578993479
20,21.044171432654064
21,11.729260742664337
22,8.920325636863708
23,49.42560338973999
24,10.323957204818726
25,11.911585509777069
26,12.334230403105417
27,12.602867623170217
28,9.613523463408152
29,11.872046113014221
30,11.731180568536123
