# it, mean_episode_cot
0,13.30038620221118
1,18.051183422406513
2,32.59974722067515
3,20.850565036137898
4,23.286704142888386
5,18.593172311782837
6,28.055681864420574
7,22.63307507832845
8,41.178504625956215
9,23.077582995096844
10,29.120384097099304
11,20.80954396724701
12,29.143624623616535
13,17.725807785987854
14,18.417050798734028
15,29.756767829259235
16,20.711424350738525
17,28.076141357421875
18,33.65194205443064
19,26.349121769269306
20,54.479217410087585
21,18.347388982772827
22,20.44761045773824
23,21.57478666305542
24,23.965752561887104
25,21.5475815931956
26,18.599113663037617
27,30.547575155893963
28,73.3636422554652
29,45.59362276395162
30,24.854772726694744
31,20.206373532613117
32,22.589271664619446
33,52.99202267328898
34,20.9842213789622
35,27.460410952568054
36,18.589476863543194
37,21.91042387485504
38,26.188235958417255
39,88.13519755999248
40,22.745277682940166
41,34.67027461528778
42,39.13191588719686
43,28.759217540423077
44,20.440550406773884
45,20.77349595228831
46,20.25685942173004
47,20.641424894332886
48,26.459696372350056
49,21.631075024604797
50,19.018270532290142
51,20.36138141155243
52,17.921141465504963
53,18.789113521575928
54,22.6512953042984
55,19.132023016611736
56,22.221385598182678
57,21.187537749608357
58,120.58922938505809
59,19.582512935002644
60,20.201560815175373
61,16.826702038447063
62,21.864907423655193
63,16.213647723197937
64,22.16211660703023
65,18.123688220977783
66,21.132141828536987
67,24.017157355944317
68,18.76128939787547
69,27.978074073791504
70,32.43023141225179
71,34.93063314755758
72,17.50608476003011
73,35.82351231575012
74,27.449325919151306
75,26.760984857877094
76,21.741758545239765
77,30.037383556365967
78,25.370100100835163
79,66.03738975524902
80,18.631717642148335
81,21.6638978322347
82,26.58421031634013
83,17.276577909787495
84,18.894099315007526
85,37.767169872919716
86,18.02940098444621
87,20.44237716992696
88,17.682295282681782
89,19.644486784934998
90,27.89077365398407
91,21.932341933250427
92,20.904016256332397
93,18.232131441434223
94,59.5585683186849
95,17.912034511566162
96,16.630324840545654
97,246.36580884456635
98,18.40720276037852
99,28.819133520126343
100,21.213186502456665
101,544.0839743216833
102,68.95144848028819
103,18.03462080160777
104,25.12425982952118
105,18.431166013081867
106,38.32741471131643
107,19.508041620254517
108,27.45905347665151
109,22.690776467323303
110,429.71069773038226
111,19.64818529287974
112,16.743516246477764
113,33.39986534913381
114,20.33502757549286
115,19.11602262655894
116,20.94315195083618
117,21.080792268117268
118,20.10638964176178
119,16.60118230183919
120,19.781129201253254
121,18.688995401064556
122,22.443898677825928
123,25.884080807367962
124,67.67858052253723
125,18.19075616200765
126,103.07557916641235
127,17.18422480424245
128,17.222443342208862
129,4648.3793025016785
130,20.955487648646038
131,21.669349789619446
132,31.075191895167034
133,19.697083195050556
134,26.13132854302724
135,16.797648986180622
136,17.27462164560954
137,18.539562185605366
138,21.685943802197773
139,22.834857265154522
140,31.282538811365765
141,17.212965806325276
142,19.52313284079234
143,15.141809066136679
144,23.089336156845093
145,20.829290707906086
146,30.185760815938313
147,16.647090435028076
148,22.87305998802185
149,27.320079167683918
150,23.16199604670207
151,27.403229872385662
152,52.33887712160746
153,18.132647673288982
154,25.662656267484028
155,20.86206078529358
156,21.199560602506
157,21.200372894605
158,16.270954608917236
159,17.907724062601726
160,58.15287478764852
161,22.51555089155833
162,26.813087821006775
163,29.64064884185791
164,25.92610247929891
165,17.113553682963055
166,22.712948203086853
167,42.4747447570165
168,38.42211663722992
169,18.322909235954285
170,23.184523661931355
171,20.607518593470257
172,17.652119557062786
173,28.046420375506084
174,23.681858738263447
175,21.279491583506267
176,23.63970955212911
177,20.005089282989502
178,20.72456419467926
179,17.365162134170532
180,18.39426573117574
181,21.435812791188557
182,35.489463210105896
183,19.946559985478718
184,17.728007475535076
185,15.76927367846171
186,19.506969690322876
187,20.815301179885864
188,21.543306986490887
189,28.690980275472004
190,17.41944658756256
191,22.412821173667908
192,35.94339795907339
193,18.39569878578186
194,29.049537301063538
195,30.69859019915263
196,21.779320120811462
197,31.789519508679707
198,32.422529101371765
199,17.213891347249348
200,17.53951374689738
201,20.831673940022785
202,20.412445386250813
203,17.993770162264507
204,25.363994121551514
205,50.48330223560333
206,21.249792615572613
207,22.620734731356304
208,34.683870355288185
209,20.914260586102802
210,24.63027624289195
211,16.653724153836567
212,17.14333939552307
213,48.077476700146995
214,32.437879959742226
215,29.88095744450887
216,22.31924243768056
217,20.731723308563232
218,19.700892289479572
219,19.353555997212727
220,18.525139609972637
221,20.64894183476766
222,25.073832194010418
223,35.831533670425415
224,17.912069439888
225,20.805805047353108
226,100.03566702206929
227,37.18110247453054
228,17.341540416081745
229,18.873467286427815
230,30.34596053759257
231,22.794522484143574
232,57.926509062449135
233,61.87960151831309
234,17.102604190508526
